3943	2
9856	2
4600	2
2629	2
3286	2
5914	7
1972	7
8542	7
9857	5
4601	5
1315	8
1	8
6571	8
658	8
9199	8
5257	8
7228	8
7885	9
2630	6
3287	7
3944	7
1973	3
8543	3
6572	3
5258	3
7229	3
2631	3
5915	5
3288	3
3945	3
4602	5
9858	5
1974	3
6573	3
1316	6
5259	3
5916	3
2	7
659	7
9200	7
7886	6
2632	4
6574	3
8544	7
5260	3
5917	3
3	3
3289	5
9859	5
7887	3
4603	5
3946	6
1317	5
7230	8
1975	6
4	3
660	6
9860	3
4604	3
2633	6
8545	4
9201	7
1976	3
5918	5
1318	4
9861	3
6575	7
5261	7
7231	5
7888	6
3947	6
9202	3
5	5
1977	3
8546	4
3290	9
661	6
9862	3
6576	3
4605	6
2634	6
7889	3
9203	3
1978	3
5919	6
3948	5
9863	3
1319	6
7232	6
5262	6
8547	5
9204	3
3291	5
6	5
1979	3
662	6
3949	3
1320	3
2635	5
6577	6
5263	3
4606	7
7890	7
9864	5
9205	5
5920	7
3292	5
5264	3
7233	6
8548	6
1980	5
7891	3
7	6
4607	4
663	6
2636	5
9206	3
1321	6
3293	3
6578	6
9865	5
3950	9
5921	6
7234	6
8	5
7892	6
8549	6
4608	6
1981	6
2637	5
5265	8
9866	5
6579	6
5922	3
9	3
1322	7
7893	3
3294	7
4609	2
9207	7
1982	3
664	9
5266	3
3951	7
9867	3
7235	6
5923	3
7894	3
9208	3
2638	5
8550	7
9868	3
1323	5
4610	5
5924	3
1983	5
6580	6
5267	5
10	6
3295	6
665	6
3952	6
7895	5
9209	5
9869	3
5925	3
4611	3
1984	3
6581	3
2639	6
7236	7
666	3
8551	6
5268	5
1324	6
4612	3
11	6
2640	3
3296	6
667	3
8552	3
5926	5
6582	5
4613	3
1985	6
9870	7
2641	3
7896	8
668	3
3953	8
7237	6
9210	8
5269	5
1325	6
12	5
669	3
5927	4
9211	2
8553	6
3297	7
6583	5
1326	3
1986	5
2642	5
9871	5
7897	5
3954	5
4614	7
7238	6
9212	3
13	5
5270	6
1327	3
9872	3
5928	5
4615	2
7239	3
9213	3
7898	4
3298	6
5271	3
8554	6
1987	5
2643	5
670	7
9873	3
6584	7
3955	6
9214	3
14	6
5272	3
8555	3
1988	2
671	3
7240	4
1328	6
3299	4
5929	6
4616	6
15	3
5273	3
8556	3
2644	6
7241	3
1329	3
7899	7
9874	6
6585	6
9215	6
3956	7
1989	6
8557	3
3300	5
7242	3
7900	2
16	5
672	7
9875	3
4617	6
5274	5
9216	3
1330	4
6586	3
5930	8
7901	3
3301	4
3957	5
9876	3
673	3
4618	3
2645	7
9217	3
6587	3
1990	5
8558	6
17	5
1331	5
5275	6
9218	2
1991	2
6588	2
7243	8
18	3
1332	2
5931	7
7902	6
4619	5
9877	6
6589	3
3302	7
674	7
3958	7
5276	5
9219	5
1992	5
9878	2
6590	3
8559	8
3303	3
7244	6
5932	5
2646	10
675	3
3959	3
4620	5
7903	5
19	6
1333	6
9220	3
9879	3
6591	3
676	3
9221	2
5277	6
7245	5
9880	2
8560	5
1993	6
3960	5
3304	6
4621	6
5933	7
2647	7
20	6
9881	3
7904	7
